threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.37,0.9566817909425563,0.9476280226169949,0.9911085014469656,0.968880688806888,0.11660714285714285,0.008891498553034434,9894,1306,212,23631,0.8468882087159306,0.7851988705685502,0.9937792288008471,0.8772613089790275,0.3330810810810811,0.006220771199152916,24676,12324,282,45050
0.38,0.9573666638130297,0.9490817023670779,0.9904793859833074,0.9693387513852973,0.113125,0.00952061401669253,9933,1267,227,23616,0.8491352086673468,0.787920144174409,0.9933821582987735,0.8788017758696395,0.3275945945945946,0.006617841701226507,24879,12121,300,45032
0.39,0.9581086094227093,0.9507998549381472,0.9896405653650967,0.9698314837648992,0.10901785714285714,0.010359434634903325,9979,1221,247,23596,0.8512971869989797,0.7905755484131584,0.9929630283243625,0.880286303767515,0.3222702702702703,0.0070369716756375185,25076,11924,319,45013
0.4,0.9587364095539765,0.9522636404022454,0.9889275678396175,0.9702493621924122,0.10553571428571429,0.011072432160382503,10018,1182,264,23579,0.8535684788417626,0.7935012701100762,0.9922791846819025,0.8818270927269163,0.3163783783783784,0.0077208153180975915,25294,11706,350,44982
0.41,0.9592500642068316,0.953800056687047,0.987962924128675,0.9705809641532757,0.101875,0.012037075871324918,10059,1141,287,23556,0.8556454355536122,0.7961956040452702,0.9916615194564546,0.8832434450306014,0.311,0.008338480543545398,25493,11507,378,44954
0.42,0.9597922552292897,0.9552353896103896,0.9871660445413748,0.9709382670214302,0.09848214285714285,0.012833955458625174,10097,1103,306,23537,0.8577466841568284,0.7988656971162393,0.9911982705373688,0.8846994427927307,0.30575675675675673,0.008801729462631254,25687,11313,399,44933
0.43,0.9601346916645265,0.9564792971609859,0.9862852828922535,0.9711536476078383,0.09553571428571428,0.01371471710774651,10130,1070,327,23516,0.8596900354661614,0.8015963715581587,0.9902717726991971,0.8860007499950658,0.3002972972972973,0.009728227300802965,25889,11111,441,44891
0.44,0.9601061552949234,0.9574823692470751,0.9851109340267584,0.9711001777814529,0.093125,0.014889065973241623,10157,1043,355,23488,0.8618641597434776,0.8044285073957866,0.9897423453630989,0.8875152066622489,0.2948108108108108,0.010257654636901085,26092,10908,465,44867
0.45,0.9607339554261907,0.9589410466968992,0.9844398775321898,0.971523178807947,0.08973214285714286,0.015560122467810258,10195,1005,371,23472,0.8639654083466939,0.8072187218721872,0.9891687990823259,0.8889792034257846,0.28943243243243244,0.010831200917674049,26291,10709,491,44841
0.46,0.9607624917957938,0.9600704398394627,0.9832235876357841,0.9715090860114792,0.08705357142857142,0.016776412364215912,10225,975,400,23443,0.8662731380265267,0.8103816241635016,0.9883967175505162,0.8905805887380494,0.28335135135135137,0.011603282449483809,26516,10484,526,44806
0.47,0.9610478554918244,0.9614468714074561,0.98213312083211,0.9716799103715845,0.08383928571428571,0.017866879167889947,10261,939,426,23417,0.8684229704124763,0.8133139587685042,0.987756992852731,0.8920876209070896,0.27778378378378377,0.012243007147269037,26722,10278,555,44777
0.48,0.961333219187855,0.9629827884377831,0.9808748899047939,0.9718464958756675,0.08026785714285714,0.01912511009520614,10301,899,456,23387,0.8710343487343924,0.8167335766423358,0.9873158034059826,0.8939599728358567,0.2714324324324324,0.01268419659401747,26957,10043,575,44757
