threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.13,0.9456096795365694,0.9270058784599213,0.9986998280417733,0.9615182717544922,0.16741071428571427,0.0013001719582267331,9325,1875,31,23812,0.8154666472331535,0.7495322150651588,0.9985220153533928,0.8562942784446147,0.40881081081081083,0.001477984646607253,21874,15126,67,45265
0.14,0.9466084524726764,0.9283708960461671,0.9985740049490417,0.9621936187839722,0.16401785714285713,0.0014259950509583526,9363,1837,34,23809,0.8164626147791867,0.7506011907723436,0.9983896585193682,0.8569426956612294,0.40643243243243243,0.0016103414806317832,21962,15038,73,45259
0.15,0.9475216162999743,0.9296313651983755,0.99844818185631,0.9628116721603203,0.16089285714285714,0.001551818143689972,9398,1802,37,23806,0.8175557498906865,0.7517734031065703,0.9982573016853437,0.8576572820226104,0.40383783783783783,0.0017426983146563134,22058,14942,79,45253
0.16,0.9484347801272722,0.9309629977313619,0.9982384767017574,0.9634277155983728,0.1575892857142857,0.0017615232982426709,9435,1765,42,23801,0.818563863382403,0.7528955601411169,0.9980367069619694,0.8583055091819699,0.4013243243243243,0.00196329303803053,22151,14849,89,45243
0.17,0.9494335530633793,0.9325102880658436,0.997902948454473,0.9640990315652984,0.15375,0.002097051545526989,9478,1722,50,23793,0.820142836321236,0.754595802889267,0.99786023118327,0.8593438325196148,0.3975945945945946,0.002139768816729904,22289,14711,97,45235
0.18,0.9501754986730588,0.9337678143771347,0.9975254791762782,0.9645942328750456,0.150625,0.0024745208237218473,9513,1687,59,23784,0.8214424525093523,0.7560306925893111,0.9976396364598958,0.8601915340795617,0.3944324324324324,0.0023603635401041206,22406,14594,107,45225
0.19,0.9510030533915476,0.9351400251730648,0.9971480098980833,0.96514908559482,0.14723214285714287,0.002851990101916705,9551,1649,68,23775,0.8224870038381188,0.7572311454268343,0.9973528633195095,0.860861203933777,0.39175675675675675,0.0026471366804906027,22505,14495,120,45212
0.2,0.952173044545273,0.9369259273859739,0.9968124816507989,0.9659418817313554,0.14285714285714285,0.0031875183492010234,9600,1600,76,23767,0.8237137443521353,0.7586183746769158,0.9970881496514603,0.8616581199839869,0.3887027027027027,0.002911850348539663,22618,14382,132,45200
0.21,0.9531432811117769,0.9385296092916683,0.9963930713416935,0.9665961428920172,0.13892857142857143,0.0036069286583064212,9644,1556,86,23757,0.825098382160035,0.7601601399542457,0.9968675549280861,0.8625691925940064,0.38535135135135135,0.00313244507191388,22742,14258,142,45190
0.22,0.9540564449390748,0.9400308751929699,0.9960156020634987,0.9672137824298457,0.13526785714285713,0.003984397936501279,9685,1515,95,23748,0.8268473983384347,0.7621296983602133,0.9965587223153622,0.8637197919853166,0.3810810810810811,0.0034412776846377835,22900,14100,156,45176
0.23,0.9541991267870902,0.9407404471222451,0.9953864865998406,0.9672922907623648,0.13348214285714285,0.004613513400159376,9705,1495,110,23733,0.8282441820920177,0.7637627479831549,0.996183711285626,0.8646263127159939,0.37751351351351353,0.003816288714373952,23032,13968,173,45159
0.24,0.9549410723967697,0.9421320200174755,0.9948831942289141,0.9677893147834602,0.1300892857142857,0.0051168057710858535,9743,1457,122,23721,0.8299689063790506,0.7657365787465016,0.9958528192005647,0.86576466865477,0.37327027027027027,0.004147180799435278,23189,13811,188,45144
0.25,0.9555117997888308,0.9432686187141948,0.9944218428888982,0.968170032054554,0.12732142857142856,0.005578157111101791,9774,1426,133,23710,0.831450711752417,0.7674699409873982,0.995499867643166,0.8667377296342178,0.36954054054054053,0.004500132356834025,23327,13673,204,45128
0.26,0.9561110635504951,0.9445883994418975,0.9937927274252402,0.9685660562459124,0.12410714285714286,0.006207272574759888,9810,1390,148,23695,0.8329203711801001,0.7692268340097541,0.9950807376687549,0.8676976936541828,0.36575675675675673,0.004919262331245036,23467,13533,223,45109
0.27,0.9569386182689839,0.9460377057037865,0.9933733171161347,0.9691278463143681,0.120625,0.006626682883865286,9849,1351,158,23685,0.8344264684448331,0.7710235628056497,0.9946836671666813,0.8686882308744486,0.3619189189189189,0.005316332833318627,23609,13391,241,45091
0.28,0.9582227549011215,0.9479921527805582,0.9930797298997609,0.9700122900450635,0.11598214285714285,0.006920270100239064,9901,1299,165,23678,0.8359325657095662,0.7727833779057807,0.9943968940262949,0.8696943972835314,0.35821621621621624,0.005603105973705109,23746,13254,254,45078
0.29,0.9587934822931826,0.9490757448173543,0.9927022606215661,0.9703989176335533,0.11339285714285714,0.0072977393784339215,9930,1270,174,23669,0.8373900791915658,0.7745178921315871,0.9940660019412335,0.8706648376065074,0.3545675675675676,0.005933998058766435,23881,13119,269,45063
0.3,0.9590503096196102,0.9501044512293106,0.9919053810342658,0.9705550425772033,0.11089285714285714,0.008094618965734178,9958,1242,193,23650,0.8390419278044988,0.7765040510256852,0.99366893143916,0.8717655938534188,0.3504054054054054,0.006331068560840025,24035,12965,287,45045
0.31,0.9596781097508775,0.9513805039040489,0.9914020886633393,0.9709790712481259,0.10785714285714286,0.008597911336660656,9992,1208,205,23638,0.8406451926346985,0.7784193057668373,0.9933380393540987,0.8728435743361117,0.34643243243243244,0.00666196064590135,24182,12818,302,45030
0.32,0.9600490825557173,0.952534580796064,0.9906471501069496,0.9712171052631579,0.10508928571428572,0.009352849893050371,10023,1177,223,23620,0.8420176844969149,0.7801369269434093,0.9928968499073502,0.8737515408582216,0.34283783783783783,0.007103150092649784,24315,12685,322,45010
0.33,0.960391518990954,0.9532883846743914,0.9903116218596653,0.9714473792479223,0.10330357142857143,0.00968837814033469,10043,1157,231,23612,0.8437667006753146,0.782196805089607,0.9926541957116386,0.8749477450151175,0.33864864864864863,0.0073458042883614225,24470,12530,333,44999
0.34,0.9603344462517478,0.9540546006066734,0.9893469781487229,0.9713803327293691,0.10142857142857142,0.010653021851277105,10064,1136,254,23589,0.8450906087547977,0.783899191299498,0.9921688873202154,0.8758227207228259,0.3351081081081081,0.0078311126797847,24601,12399,355,44977
0.35,0.9606483463173815,0.9548473313355471,0.9889275678396175,0.9715886849207821,0.09955357142857142,0.011072432160382503,10085,1115,264,23579,0.846900354661614,0.7861402066903317,0.9917276978734668,0.8770471814980638,0.33054054054054055,0.008272302126533133,24770,12230,375,44957
0.36,0.9609622463830152,0.9557159657731457,0.988424275468691,0.9717949775267,0.0975,0.01157572453130898,10108,1092,276,23567,0.8485279113831803,0.7882392154798871,0.9911762110650313,0.8781355352518688,0.3262432432432432,0.008823788934968676,24929,12071,400,44932
0.37,0.961333219187855,0.9568131957422605,0.9877532189741224,0.9720370637885135,0.09491071428571428,0.012246781025877616,10137,1063,292,23551,0.8503498032356799,0.79052329572457,0.9907350216182829,0.8793773557198101,0.32164864864864867,0.00926497838171711,25099,11901,420,44912
0.38,0.9617327283622977,0.9579534353630739,0.9870821624795537,0.9722996839561256,0.09223214285714286,0.012917837520446252,10167,1033,308,23535,0.8520866734683963,0.7926420223846344,0.9904703079502338,0.8805820863323462,0.31745945945945947,0.00952969204976617,25254,11746,432,44900
0.39,0.9619324829495192,0.9588616626574795,0.9863691649540746,0.9724209220591276,0.09008928571428572,0.01363083504592543,10191,1009,325,23518,0.8535927707331293,0.7947668650793651,0.9896541074737493,0.8815680880330123,0.31310810810810813,0.010345892526250773,25415,11585,469,44863
0.4,0.9622463830151529,0.9597419565572431,0.9858658725831481,0.972628530050688,0.08803571428571429,0.014134127416851907,10214,986,337,23506,0.8554511004226789,0.7970218739449508,0.9894555722227124,0.8828745485144033,0.30872972972972973,0.010544427777287568,25577,11423,478,44854
0.41,0.9625888194503895,0.9605510587850544,0.9854884033049532,0.9728599523858814,0.08616071428571428,0.014511596695046765,10235,965,346,23497,0.8572244084924452,0.7992975950653379,0.9890364422483015,0.88410155287158,0.30427027027027026,0.010963557751698579,25742,11258,497,44835
0.42,0.9628741831464201,0.9615479115479115,0.9848173468103846,0.9730435323125376,0.08383928571428571,0.0151826531896154,10261,939,362,23481,0.8589855706165282,0.8016710799398841,0.9884187770228536,0.8853038805026476,0.2995945945945946,0.011581222977146387,25915,11085,525,44807
0.43,0.9631880832120537,0.9623979989338582,0.9843559954703687,0.9732531619324072,0.081875,0.01564400452963134,10283,917,373,23470,0.8607831705776612,0.8040722519481452,0.9878672902144181,0.8865440579652762,0.2949189189189189,0.01213270978558193,26088,10912,550,44782
0.44,0.9632166195816568,0.9631211498973306,0.9836010569139789,0.973253377046459,0.08017857142857143,0.016398943086021054,10302,898,391,23452,0.8620827867657775,0.8060604968742681,0.9869849113209213,0.8873947579805432,0.29094594594594597,0.013015088679078796,26235,10765,590,44742
0.45,0.9631024741032446,0.9638009049773756,0.9826783542339471,0.9731480904616535,0.07857142857142857,0.01732164576605293,10320,880,413,23430,0.8635038624107273,0.8080634668208762,0.9863893055678108,0.8883657170103707,0.28705405405405404,0.013610694432189182,26379,10621,617,44715
0.46,0.9630454013640385,0.9645241038318912,0.9817975925848257,0.9730841976181074,0.076875,0.018202407415174263,10339,861,434,23409,0.8649127921099937,0.8099630327631198,0.9859922350657372,0.8893509491026305,0.28343243243243244,0.014007764934262772,26513,10487,635,44697
0.47,0.9632451559512599,0.9654546204960998,0.9810845950593465,0.9732068563820935,0.07473214285714286,0.01891540494065344,10363,837,451,23392,0.8663824515376767,0.8120716298518317,0.985352510367952,0.8903594885236752,0.27937837837837837,0.014647489632048002,26663,10337,664,44668
0.48,0.9631310104728477,0.9659490061572792,0.9803715975338674,0.97310686482661,0.07357142857142857,0.01962840246613262,10376,824,468,23375,0.8683258028470097,0.8147620872802935,0.9847348451425042,0.8917210175687418,0.2742972972972973,0.015265154857495808,26851,10149,692,44640
